Customer,SSN,Name,Birthdate,Current age,Region,CredCardUser?,Income,Purchases,AmountSpent
1,539-84-9599,Edith Emerson-Foster ,26|10|1944,,East North Central,0,62900,4,2080
2, 444-05-4079,"  victor, BRETT",1|1|1932,, New England,1,23300,0,0
3,418-18-5649,"QUINN, Freddie",17|8|1973,,Middle Atlantic ,1,48700,8,3990
4,065-633311,"Foster, Chris",2|8|1947,,P,1,137600,2,920
5,059-58-9566,"Smith, Ryan ",3|10|1948,,West South Central,0,101400,2,1000
6,443-13-8685,  Tina Reese,24|3|1960,,Haw. ,0,139700,1,550
7, 638-89-7231,"victor, Kaleb",2|12|1943,,Mountain,1,50900,3,1400
8, 202-94-6453,Ann Jones ,8|11|1974,,Pacific,1,50500,0,0
9,266-29-0308,"  Zimmerman, Carrie",28|9|1967,,E. S. Central ,0,151400,2,910
10,943858301,"Stanton, Chris",5|7|1965,,East North Central ,0,88300,2,1080
11,047-07-5332,Peter Young ,13|11|1964,, East North Central ,0,120300,3,1390
12,503-14-3400,  Polly KING,21|3|1934,,Hawaii ,0,25800,1,560
13,690-97-5817,Jane Jones,29|12|1960,,NE,0,65500,1,410
14,614-59-6703,Olivia Johnson ,1|8|1972,,WNC,1,54400,9999,9999
15,704-985642,"  Wilson, Sarah",1|5|1952,, E. N. Central,0,54500,7,3570
16,588-92-9590,Nate MOORE,29|8|1939,, New England,0,143500,2,1070
17,267-58-0440,"Reese, Yvonne ",5|4|1957,,Hawaii,1,40500,2,950
18,833-81-4506,  BRETT Greis,1|11|1967,,Mid. Atlantic ,1,61900,2,930
19,645-20-8840,Kayla KING,2|3|1958,, East South Central,1,106300,2,1010
20,700-29-4704,Steve QUINN ,10|1|1933,, ,0,133700,3,1570
21,443-16-6366 ,"  MOORE, Barb",28|11|1938,,South Atlantic,1,101900,3,1560
22,932-34-0537,Harris Lewis,22|9|1947,,Middle Atlantic,0,83000,3,1440
23,943-09-9693,"James, Ingrid ",8|12|1976,,Pac.,1,150500,0,0
24,429-27-7896,  Tina MOORE,8|9|1930,,Ala.,0,24600,2,1080
25,977-81-8641,"QUINN, Aaron",3|7|1962,,Mountain,0,108500,6,3220
26,637-52-5564,"Greis, Peter ",28|1|1953,,E. S. Central ,0,92600,5,2260
27,208-24-5411,"  Houston, mary",5|11|1945,,Pacific,0,129100,1,580
28, 326-15-9711,"Johnson, Peter",8|2|1962,,E. S. Central,1,101500,2,1040
29,437-20-5008,"NORTON, Oliver ",20|10|1941,,SA,0,75800,3,1640
30, 168-38-3752,  Fannie Jones,10|1|1951,,East South Central,0,80500,7,3640
31,564-00-1130,"NORTON, Lisa",19|6|1930,, S. Atlantic,1,151000,5,2460
32,151-72-6670,"Johnson, Riley ",17|6|1949,,P,1,36800,3,1520
33,508-92-0528,  Steve Underwood,23|1|1967,,E. N. Central ,0,130100,0,0
34, 659-67-6522,"Wilson, Lisa",3|2|1942,,South Atlantic,0,43800,1,510
35,166810189,"Jones, David ",28|1|1939,,East South Central,1,103800,3,1630
36, 071-680276,"  Wilson, Zach",4|6|1966,, East North Central ,0,20100,3,1520
37, 498-98-3229,DEBRA Johnson,13|4|1973,, E. S. Central,0,84300,3,1700
38, 267-99-6806,"QUINN, mary ",8|7|1957,,New England ,1,123700,5,2700
39,356-51-5288,"  KING, Kaleb",20|10|1947,,Haw. ,0,132300,4,1910
40,081-45-2678,Olivia KING,31|1|1950,,NE,0,147300,2,1040
41, 006-59-5729,"Porter, Zach ",7|11|1942,,East South Central ,1,59100,7,460
42,176-72-8671,  Ingrid Porter,24|4|1962,,ESC,0,133200,4,2230
43,053-13-0416,Zach Thompson,21|1|1930,,Pacific,1,146300,1,480
44,069340131,"Wilson, Mike ",4|2|1968,, ,0,138900,2,1150
45,710-56-1876,"  Young, Winona",15|5|1973,,WNC,1,145700,1,520
46,926-75-2882,Kaleb Porter,14|6|1974,,South Atlantic,0,93900,2,1000
47, 601104503,"victor, Lawrence ",19|12|1948,,New England ,1,9999,2,1020
48,309292521,"  Jones, David",19|5|1961,,New England,1,92600,3,1490
49,539-79-0361,"Smith, Stuart",23|2|1972,, ,0,94900,1,520
50,912-79-4136,Suki Calhoun,9|4|1957,,New England,0,108700,2,1060
51,669-39-4544,"Moon, Asher",5|10|1933,, ,0,149,2,1010
52, 318-19-1132,"Mcknight, Philip",25|1|1960,,P,0,158700,2,980
53,300-80-8755,Fletcher Rush,28|6|1953,, South Atlantic,0,34900,1,430
54,081966992 ,"Copeland, Walter ",14|5|1946,,MA ,1,54500,8,4030
55,183-43-4916,Axel Chambers,22|10|1932,,Middle Atlantic,0,154200,7,3410
56,811505929,"Blackwell, Britanni ",14|6|1937,,ENC,0,86200,3,1490
57,380-14-0708,Lilah England ,2|10|1965,,,0,76000,3,1620
58,878-86-4832,Kuame Barker,16|10|1956,,Mtn.,1,25900,1,530
59,716-43-4054,Latifah Ayala,17|1|1963,, Hawaii ,1,92900,1,520
60,893-32-5390,"Williams, Jayme",18|2|1945,, Middle Atlantic,1,49100,5,2580
61,104-36-4033,Stephen Kirkland,4|7|1943,, South Atlantic,0,107800,2,1050
62,001-806937,"Richardson, Dale",27|12|1954,,SA,1,44000,4,2020
63,14-88-6983,"Mills, Cole",13|5|1949,,New England ,0,75600,3,1400
64,205-8-3572,"Nguyen, Lydia",17|5|1927,,East South Central,0,50500,1,490
65,745-24-4400, Akeem Petty,9|11|1949,, East South Central,1,63800,5,2660
66,635-32-9235,"Middleton, Wesley",1|5|1959,,Pacific,1,156400,0,0
67,091-68-3326,Riley Browning,8|3|1967,, Ala. ,0,143200,1,490
68, 15884-9070,"Galloway, Emma",6|5|1941,, Mountain,0,63200,5,2500
69, 606-84-6807,"Matthews, Alexander",14|2|1938,,Pac.,1,53300,3,1470
70, 091-01-0397,"Mendez, Maggy",8|9|1945,,East North Central ,0,143200,5,2520
71,472-87-6263,Thane Franks,1|2|1949,,East South Central,0,41900,2,960
72, 033-31-9733,"Cline, Brennan",21|7|1947,,West South Central,1,75300,3,1610
